('Total Revenue', '270,010,000 ', '245,122,000 ', '211,915,000 ', '198,270,000 ', '168,088,000 ')
         847923 function calls (823694 primitive calls) in 8.175 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      215    0.000    0.000    0.000    0.000 {built-in method _imp.is_builtin}
      166    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:48(_new_module)
      128    0.000    0.000    0.001    0.000 _htmlparser.py:285(handle_comment)
      199    0.000    0.000    0.001    0.000 css_types.py:360(__init__)
       54    0.000    0.000    0.001    0.000 typing.py:1449(__getitem__)
       49    0.000    0.000    0.000    0.000 enum.py:390(__setitem__)
       75    0.000    0.000    0.001    0.000 css_parser.py:542(parse_tag_pattern)
        3    0.000    0.000    0.035    0.012 utils.py:1(<module>)
      323    0.000    0.000    0.001    0.000 typing.py:166(_type_convert)
      307    0.000    0.000    0.087    0.000 __init__.py:226(compile)
        1    0.000    0.000    0.116    0.116 dammit.py:1(<module>)
      324    0.000    0.000    0.000    0.000 enum.py:79(_is_private)
      138    0.000    0.000    0.001    0.000 typing.py:1147(__init__)
      405    0.000    0.000    0.000    0.000 {method 'pop' of 'dict' objects}
      517    0.000    0.000    0.000    0.000 {built-in method from_bytes}
      522    0.000    0.000    0.000    0.000 {method '__exit__' of '_thread.RLock' objects}
       68    0.000    0.000    0.014    0.000 filter.py:163(find_all)
       43    0.000    0.000    0.000    0.000 response.py:1133(_update_chunk_length)
        1    0.000    0.000    0.001    0.001 typing_extensions.py:1(<module>)
      190    0.000    0.000    0.000    0.000 _parser.py:231(__init__)
      524    0.000    0.000    0.000    0.000 {method 'get' of 'mappingproxy' objects}
       51    0.000    0.000    0.001    0.000 <frozen abc>:105(__new__)
      350    0.000    0.000    0.000    0.000 {method 'rfind' of 'str' objects}
      217    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:420(__exit__)
        1    0.000    0.000    0.000    0.000 timeout.py:1(<module>)
      335    0.000    0.000    0.000    0.000 socket.py:732(readable)
    44/32    0.000    0.000    0.008    0.000 css_parser.py:579(parse_pseudo_class)
      198    0.000    0.000    0.000    0.000 {built-in method _imp.find_frozen}
      352    0.000    0.000    0.000    0.000 enum.py:48(_is_dunder)
      198    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:1128(find_spec)
        2    0.000    0.000    0.000    0.000 cookiejar.py:466(parse_ns_headers)
      437    0.000    0.000    0.000    0.000 socket.py:79(<lambda>)
      249    0.000    0.000    0.000    0.000 {built-in method builtins.any}
      271    0.000    0.000    0.000    0.000 filter.py:490(_make_match_rules)
       20    0.000    0.000    0.020    0.001 <frozen importlib._bootstrap_external>:1456(_path_hooks)
    79/46    0.000    0.000    0.263    0.006 <frozen importlib._bootstrap>:1390(_handle_fromlist)
      953    0.000    0.000    0.000    0.000 {built-in method _sre.unicode_tolower}
      380    0.000    0.000    0.000    0.000 _compiler.py:570(isstring)
        2    0.000    0.000    0.043    0.021 connection.py:1(<module>)
    66/35    0.000    0.000    0.000    0.000 {built-in method _abc._abc_subclasscheck}
       20    0.000    0.000    0.017    0.001 <frozen importlib._bootstrap_external>:1644(_fill_cache)
      194    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:180(_path_isabs)
       73    0.000    0.000    0.000    0.000 _parser.py:274(getuntil)
      138    0.000    0.000    0.000    0.000 element.py:1881(_all_strings)
        1    0.000    0.000    0.003    0.003 socket.py:1(<module>)
      302    0.000    0.000    0.000    0.000 enum.py:38(_is_descriptor)
      439    0.000    0.000    0.000    0.000 socket.py:89(<lambda>)
      259    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:173(__exit__)
      518    0.000    0.000    0.000    0.000 {built-in method _thread.get_ident}
       12    0.000    0.000    0.000    0.000 enum.py:1414(_missing_)
       68    0.000    0.000    0.000    0.000 filter.py:224(__init__)
       66    0.000    0.000    0.014    0.000 element.py:2692(find)
        2    0.000    0.000    0.106    0.053 api.py:1(<module>)
       68    0.000    0.000    0.016    0.000 element.py:2723(find_all)
      215    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:982(find_spec)
        2    0.000    0.000    0.007    0.004 request.py:1(<module>)
      440    0.000    0.000    0.000    0.000 socket.py:94(<lambda>)
      513    0.000    0.000    0.000    0.000 {built-in method posix.fspath}
       20    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1567(__init__)
       34    0.000    0.000    0.000    0.000 ipaddress.py:1651(_ip_int_from_string)
      218    0.000    0.000    0.000    0.000 {built-in method _thread.allocate_lock}
      270    0.000    0.000    0.000    0.000 types.py:192(__init__)
      336    0.000    0.000    0.000    0.000 {method '__exit__' of 'memoryview' objects}
        5    0.000    0.000    0.000    0.000 feedparser.py:216(_parsegen)
       69    0.000    0.000    0.000    0.000 element.py:524(get_text)
        1    0.000    0.000    0.000    0.000 ssl.py:1309(_real_close)
      190    0.000    0.000    0.000    0.000 _parser.py:953(fix_flags)
      268    0.000    0.000    0.000    0.000 {method 'translate' of 'bytearray' objects}
       60    0.000    0.000    0.001    0.000 typing.py:1458(copy_with)
      215    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:599(__init__)
      215    0.000    0.000    0.000    0.000 _virtualenv.py:52(find_spec)
      324    0.000    0.000    0.000    0.000 enum.py:59(_is_sunder)
        2    0.000    0.000    0.000    0.000 typing.py:2186(get_type_hints)
      259    0.000    0.000    0.000    0.000 {built-in method _weakref._remove_dead_weakref}
       75    0.000    0.000    0.000    0.000 typing.py:1178(__getattr__)
      176    0.000    0.000    0.005    0.000 _parser.py:98(closegroup)
      166    0.000    0.000    0.000    0.000 enum.py:202(__get__)
        1    0.000    0.000    0.000    0.000 errors.py:1(<module>)
      519    0.000    0.000    0.000    0.000 typing.py:935(__eq__)
    30/17    0.000    0.000    0.337    0.020 {built-in method builtins.__import__}
      200    0.000    0.000    0.001    0.000 typing.py:723(<genexpr>)
        1    0.000    0.000    0.000    0.000 {method '_wrap_socket' of '_ssl._SSLContext' objects}
        2    0.000    0.000    0.001    0.001 cookies.py:1(<module>)
        1    0.000    0.000    0.066    0.066 css_parser.py:1(<module>)
      137    0.000    0.000    0.000    0.000 element.py:657(_last_descendant)
        1    0.000    0.000    0.047    0.047 ssl.py:956(_create)
        1    0.000    0.000    0.000    0.000 status_codes.py:109(_init)
      112    0.000    0.000    0.000    0.000 {method 'update' of 'dict' objects}
        1    0.000    0.000    0.000    0.000 stringprep.py:1(<module>)
        1    0.000    0.000    0.059    0.059 adapters.py:1(<module>)
       28    0.000    0.000    0.000    0.000 parse.py:374(urlparse)
      670    0.000    0.000    0.000    0.000 ssl.py:1083(_checkClosed)
      263    0.000    0.000    0.000    0.000 {method 'remove' of 'list' objects}
